Month,VHT,ToD,Agents,CallsOffered,CallsAbandoned,CallsHandled,ASA,Avehandletime
Oct-Nov,On,afternoon,13,177,54,123,20.67,5.8
Oct-Nov,Off,morning,25,212,26,186,5.25,5.2
Oct-Nov,On,evening,9,57,0,57,0.1,4.7
Oct-Nov,On,morning,31,228,10,218,1.68,4.3
Oct-Nov,On,morning,26,252,35,217,5.58,4.8
Oct-Nov,On,afternoon,30,176,1,175,0.1,5
Oct-Nov,On,evening,6,39,0,39,0.13,5.1
Oct-Nov,On,evening,6,34,0,34,0,4.2
Oct-Nov,Off,morning,12,81,1,80,0.78,4.5
Oct-Nov,Off,evening,12,73,0,73,0,4.6
Oct-Nov,On,morning,10,66,0,66,0.13,4.6
Oct-Nov,Off,morning,24,162,0,162,0,4.6
Oct-Nov,On,morning,37,201,3,198,0.92,5.6
Oct-Nov,Off,afternoon,4,32,0,32,0.08,4.5
Oct-Nov,Off,morning,30,179,1,178,0.35,5
Oct-Nov,Off,afternoon,24,156,0,156,0.12,4.5
Oct-Nov,On,afternoon,29,146,0,146,0,5.8
Oct-Nov,Off,afternoon,30,176,0,176,0,5.1
Oct-Nov,Off,evening,8,40,1,39,0.13,6.8
Oct-Nov,On,afternoon,10,55,1,54,1.1,5.5
Oct-Nov,On,morning,29,167,0,167,0.1,5.2
Oct-Nov,Off,morning,28,150,0,150,0.5,5.5
Oct-Nov,On,morning,14,82,0,82,0.27,4.8
Oct-Nov,Off,morning,19,217,73,144,8.75,5.8
Oct-Nov,On,evening,12,65,0,65,0.4,5.3
Oct-Nov,Off,afternoon,7,47,0,47,0.83,4.9
Oct-Nov,On,afternoon,41,219,0,219,0,5.6
Oct-Nov,Off,evening,7,44,0,44,0,5.3
Oct-Nov,On,afternoon,22,145,0,145,0,4.8
Oct-Nov,Off,evening,12,66,2,64,1.77,5.5
Oct-Nov,Off,morning,32,204,0,204,0.05,4.8
Oct-Nov,Off,evening,4,26,0,26,0,5.2
Oct-Nov,On,evening,9,50,1,49,0.02,5.7
Oct-Nov,Off,afternoon,28,152,0,152,0,5.3
Oct-Nov,Off,evening,11,69,1,68,1.48,5.1
Oct-Nov,On,morning,9,51,0,51,0,5.3
Oct-Nov,Off,afternoon,32,173,4,169,0.47,5.8
Oct-Nov,Off,afternoon,29,170,0,170,0.02,5.3
Oct-Nov,Off,evening,8,51,0,51,0,4.5
Oct-Nov,Off,morning,8,62,5,57,0.78,3.9
Oct-Nov,On,evening,13,63,1,62,0.82,6
Oct-Nov,Off,morning,47,236,5,231,1,6
Oct-Nov,Off,morning,36,192,1,191,0.28,5.6
Oct-Nov,On,evening,10,88,17,71,7.75,6.2
Oct-Nov,Off,afternoon,38,239,12,227,1.65,5.1
Oct-Nov,On,afternoon,31,182,0,182,0,5.3
Oct-Nov,On,afternoon,40,216,2,214,0.13,5.6
Oct-Nov,Off,afternoon,41,230,0,230,0.17,5.4
Oct-Nov,Off,evening,6,27,0,27,0.13,5.9
Oct-Nov,On,evening,7,53,1,52,0.98,4.5
